meal_id,meal_name,category,pagerank_score,degree,weighted_degree,rank
M0282,Mint Lemonade,Beverages,0.007816096139144224,94,111,1
M0079,Hawaiian Pizza,Pizza,0.007566082247297909,89,109,2
M0279,Iced Latte,Beverages,0.007473463423983132,94,108,3
M0196,Caesar Salad,Salads,0.006949452672023141,91,100,4
M0257,Waffles & Ice Cream,Desserts,0.00683438767633668,81,100,5
M0331,Egg & Avocado Toast,Sandwiches,0.006777056180308816,80,95,6
M0114,Cheese Shawarma,Shawarma,0.006733098005521903,78,97,7
M0042,Margherita Pizza,Pizza,0.006701413262214096,78,95,8
M0110,Mixed Grill Wrap,Shawarma,0.0066079723361812314,81,94,9
M0238,Crème Brûlée,Desserts,0.006577249803813092,77,92,10
M0252,Umm Ali,Desserts,0.0064080798643645995,77,90,11
M0107,Mixed Grill Wrap,Shawarma,0.006319395317893373,74,88,12
M0158,Sashimi Platter (12Pcs),Sushi,0.0062898376538598815,76,87,13
M0045,Pepperoni Pizza,Pizza,0.006018396235886824,70,82,14
M0003,Classic Beef Burger,Burgers,0.005966265144534211,63,71,15
M0271,Fresh Orange Juice,Beverages,0.0058945587823422884,73,83,16
M0011,Crispy Chicken Burger,Burgers,0.005877422990116815,69,79,17
M0094,Falafel Wrap,Shawarma,0.005869528809423231,70,82,18
M0163,Spaghetti Bolognese,Pasta,0.005850015797377925,73,82,19
M0179,Pasta Carbonara,Pasta,0.005848874571362621,73,85,20
