order_id,customer_id,restaurant,items,item_names,item_categories,total_price,order_date,order_hour,order_day,n_items,payment_method,delivery_time_min,order_rating
ORD00001,CUST0392,El Classico,"M0077,M0250","Veggie Supreme Pizza,Umm Ali","Pizza,Desserts",126.0,2026-04-02,14,Thursday,2,Cash,51,2.6
ORD00002,CUST0465,Crave It,"M0296,M0342,M0273,M0343,M0362","Avocado Smoothie,French Onion Soup,Mango Smoothie,French Onion Soup,Mushroom Cream Soup","Beverages,Soups,Beverages,Soups,Soups",194.0,2026-04-09,20,Thursday,5,Credit Card,26,3.0
ORD00003,CUST0428,Urban Bites,"M0324,M0243","Tuna Melt,Tiramisu","Sandwiches,Desserts",87.0,2025-12-12,16,Friday,2,Credit Card,56,4.8
ORD00004,CUST0480,Fresh & Fit,"M0120,M0042","Salmon Nigiri (2Pcs),Margherita Pizza","Sushi,Pizza",142.0,2026-04-21,8,Tuesday,2,Wallet,28,4.1
ORD00005,CUST0037,Golden Fork,"M0346,M0278","French Onion Soup,Iced Latte","Soups,Beverages",64.0,2025-11-13,12,Thursday,2,Cash,35,4.4
ORD00006,CUST0287,Desert Rose Kitchen,"M0242,M0137,M0299","Tiramisu,Spicy Tuna Roll (8Pcs),Avocado Smoothie","Desserts,Sushi,Beverages",152.0,2026-04-19,18,Sunday,3,Wallet,26,3.1
ORD00007,CUST0157,Pizza Palace,"M0042,M0328,M0086,M0215","Margherita Pizza,Blt Sandwich,Chicken Shawarma Wrap,Quinoa Power Bowl","Pizza,Sandwiches,Shawarma,Salads",238.0,2025-12-03,12,Wednesday,4,Cash,38,3.8
ORD00008,CUST0399,Crave It,"M0155,M0346","Veggie Roll (8Pcs),French Onion Soup","Sushi,Soups",83.0,2025-11-25,11,Tuesday,2,Credit Card,56,4.2
ORD00009,CUST0353,The Hungry Bear,"M0200,M0016","Caesar Salad,Bbq Bacon Burger","Salads,Burgers",129.0,2026-03-15,12,Sunday,2,Credit Card,52,3.4
ORD00010,CUST0455,Mediterranean Nights,"M0303,M0346","Strawberry Milkshake,French Onion Soup","Beverages,Soups",68.0,2026-02-16,12,Monday,2,Credit Card,55,4.7
ORD00011,CUST0142,Crave It,M0027,Spicy Jalapeño Burger,Burgers,62.0,2026-01-03,3,Saturday,1,Wallet,36,4.2
ORD00012,CUST0275,Street Eats,"M0275,M0120,M0155","Mango Smoothie,Salmon Nigiri (2Pcs),Veggie Roll (8Pcs)","Beverages,Sushi,Sushi",119.0,2026-03-06,20,Friday,3,Credit Card,47,3.3
ORD00013,CUST0418,El Classico,"M0181,M0233,M0331","Pasta Carbonara,Cheesecake Slice,Egg & Avocado Toast","Pasta,Desserts,Sandwiches",164.0,2026-03-19,16,Thursday,3,Credit Card,39,3.4
ORD00014,CUST0328,Mama's Kitchen,"M0232,M0110,M0112,M0252","Cheesecake Slice,Mixed Grill Wrap,Cheese Shawarma,Umm Ali","Desserts,Shawarma,Shawarma,Desserts",177.0,2025-12-21,21,Sunday,4,Wallet,36,4.7
ORD00015,CUST0109,Street Eats,"M0281,M0094","Mint Lemonade,Falafel Wrap","Beverages,Shawarma",51.0,2026-02-08,9,Sunday,2,Wallet,25,3.4
ORD00016,CUST0157,Pizza Palace,"M0030,M0185,M0305","Veggie Garden Burger,Pesto Pasta,Strawberry Milkshake","Burgers,Pasta,Beverages",171.0,2025-11-30,12,Sunday,3,Cash,59,4.9
ORD00017,CUST0405,Urban Bites,"M0280,M0152","Iced Latte,Veggie Roll (8Pcs)","Beverages,Sushi",94.0,2025-11-05,19,Wednesday,2,Wallet,23,4.4
ORD00018,CUST0206,Shawarma Station,"M0243,M0126","Tiramisu,California Roll (8Pcs)","Desserts,Sushi",89.0,2026-01-27,11,Tuesday,2,Cash,36,4.0
ORD00019,CUST0333,Street Eats,"M0365,M0269,M0325,M0094,M0243","Seafood Chowder,Fresh Orange Juice,Tuna Melt,Falafel Wrap,Tiramisu","Soups,Beverages,Sandwiches,Shawarma,Desserts",195.0,2025-12-25,11,Thursday,5,Wallet,27,4.9
ORD00020,CUST0441,Mama's Kitchen,"M0164,M0152,M0218","Spaghetti Bolognese,Veggie Roll (8Pcs),Grilled Chicken Salad","Pasta,Sushi,Salads",190.0,2026-02-01,14,Sunday,3,Wallet,29,5.0
ORD00021,CUST0279,Fresh & Fit,"M0166,M0043","Spaghetti Bolognese,Margherita Pizza","Pasta,Pizza",151.0,2025-12-21,16,Sunday,2,Wallet,34,4.4
ORD00022,CUST0318,Street Eats,"M0362,M0350","Mushroom Cream Soup,Chicken Noodle Soup","Soups,Soups",83.0,2025-11-26,17,Wednesday,2,Cash,53,2.8
ORD00023,CUST0123,Daily Bites,M0247,Kunafa,Desserts,34.0,2026-02-09,16,Monday,1,Credit Card,60,2.8
ORD00024,CUST0406,El Classico,"M0238,M0093,M0027,M0311","Crème Brûlée,Meat Shawarma Wrap,Spicy Jalapeño Burger,Club Sandwich","Desserts,Shawarma,Burgers,Sandwiches",206.0,2025-11-17,16,Monday,4,Cash,59,3.1
ORD00025,CUST0387,Urban Bites,"M0043,M0272","Margherita Pizza,Mango Smoothie","Pizza,Beverages",103.0,2026-01-29,20,Thursday,2,Cash,60,3.9
ORD00026,CUST0385,Crave It,"M0226,M0005,M0145,M0089,M0143","Caprese Salad,Double Smash Burger,Rainbow Roll (8Pcs),Meat Shawarma Wrap,Rainbow Roll (8Pcs)","Salads,Burgers,Sushi,Shawarma,Sushi",375.0,2026-01-19,18,Monday,5,Cash,43,3.2
ORD00027,CUST0107,Urban Bites,"M0280,M0178","Iced Latte,Pasta Carbonara","Beverages,Pasta",125.0,2025-12-05,15,Friday,2,Credit Card,44,2.7
ORD00028,CUST0358,Desert Rose Kitchen,M0343,French Onion Soup,Soups,45.0,2026-02-12,21,Thursday,1,Wallet,46,3.1
ORD00029,CUST0407,Mama's Kitchen,"M0249,M0206,M0165","Umm Ali,Greek Salad,Spaghetti Bolognese","Desserts,Salads,Pasta",143.0,2025-12-04,17,Thursday,3,Cash,53,2.5
ORD00030,CUST0440,Golden Fork,"M0317,M0170,M0042,M0328,M0070","Grilled Cheese,Penne Arrabiata,Margherita Pizza,Blt Sandwich,Meat Lovers Pizza","Sandwiches,Pasta,Pizza,Sandwiches,Pizza",340.0,2026-01-29,14,Thursday,5,Cash,29,4.3
ORD00031,CUST0406,Mediterranean Nights,"M0184,M0325","Pesto Pasta,Tuna Melt","Pasta,Sandwiches",107.0,2025-12-31,18,Wednesday,2,Credit Card,51,3.6
ORD00032,CUST0027,Urban Bites,"M0043,M0115,M0069,M0315","Margherita Pizza,Cheese Shawarma,Meat Lovers Pizza,Grilled Cheese","Pizza,Shawarma,Pizza,Sandwiches",283.0,2026-01-04,16,Sunday,4,Credit Card,53,3.6
ORD00033,CUST0385,Pizza Palace,"M0348,M0020,M0199,M0008","French Onion Soup,Bbq Bacon Burger,Caesar Salad,Crispy Chicken Burger","Soups,Burgers,Salads,Burgers",230.0,2026-03-24,8,Tuesday,4,Credit Card,49,2.9
ORD00034,CUST0444,Desert Rose Kitchen,"M0197,M0203,M0098","Caesar Salad,Caesar Salad,Shawarma Plate","Salads,Salads,Shawarma",146.0,2026-03-06,19,Friday,3,Credit Card,39,4.9
ORD00035,CUST0246,Flavor Street,"M0237,M0296,M0200","Cheesecake Slice,Avocado Smoothie,Caesar Salad","Desserts,Beverages,Salads",119.0,2025-11-08,8,Saturday,3,Cash,53,3.9
ORD00036,CUST0315,Daily Bites,"M0037,M0091","Truffle Burger,Meat Shawarma Wrap","Burgers,Shawarma",140.0,2026-02-08,18,Sunday,2,Cash,45,4.4
ORD00037,CUST0413,The Grill House,"M0341,M0279","French Onion Soup,Iced Latte","Soups,Beverages",61.0,2025-11-16,16,Sunday,2,Wallet,53,4.9
